"","DR","CRIMETYPE.1","CRIMETYPE.2","CRIMETYPE.3","CRIMETYPE.4","CRIMETYPE.5","CRIMETYPE.6"
"11536", 90304241,AGG,AGG,AGG,AGG,AGG,AGG
"11537",111609994,AGG,AGG,AGG,AGG,AGG,AGG
"11538",130708118,AGG,AGG,AGG,AGG,AGG,AGG
"11539",110218886,AGG,AGG,AGG,AGG,AGG,AGG
"11540",141408738,AGG,AGG,AGG,AGG,AGG,AGG
"11541",111801139,0,AGG,AGG,AGG,0,0
"11542",121517506,AGG,AGG,AGG,AGG,AGG,AGG
"11543",101918279,AGG,AGG,AGG,AGG,AGG,AGG
"11544",121110656,AGG,AGG,AGG,AGG,AGG,AGG
"11545",120304387,AGG,AGG,AGG,AGG,AGG,AGG
"11546",120922331,AGG,AGG,AGG,AGG,AGG,AGG
"11547", 90715985,AGG,AGG,AGG,AGG,AGG,AGG
"11548",110804207,AGG,AGG,AGG,AGG,0,AGG
"11549", 91607270,AGG,AGG,AGG,AGG,AGG,AGG
"11550",140105532,AGG,AGG,AGG,AGG,AGG,AGG
"11551", 90322902,AGG,AGG,0,AGG,AGG,AGG
"11552",101721372,AGG,AGG,AGG,AGG,0,AGG
"11553",121421171,AGG,AGG,AGG,AGG,AGG,AGG
"11554",141416004,AGG,AGG,AGG,AGG,AGG,AGG
"11555", 91321791,AGG,AGG,AGG,AGG,AGG,AGG
"11556", 91123609,AGG,AGG,AGG,AGG,AGG,AGG
"11557",112119661,AGG,AGG,AGG,AGG,AGG,AGG
"11558",120212678,AGG,AGG,AGG,AGG,AGG,AGG
"11559",130904249,AGG,AGG,AGG,AGG,AGG,AGG
"11560",121008813,AGG,AGG,AGG,AGG,AGG,AGG
"11561", 92021848,0,AGG,AGG,AGG,AGG,AGG
"11562",101711802,AGG,AGG,AGG,AGG,AGG,0
"11563",122117268,AGG,AGG,AGG,AGG,AGG,AGG
"11564",100305382,AGG,AGG,AGG,AGG,AGG,AGG
"11565", 91429539,AGG,AGG,0,AGG,AGG,0
"11566",130811053,0,AGG,AGG,AGG,AGG,AGG
"11567",100521292,AGG,AGG,AGG,AGG,AGG,0
"11568",132005627,AGG,AGG,AGG,AGG,AGG,AGG
"11569",110918591,AGG,AGG,AGG,AGG,AGG,AGG
"11570",110521211,AGG,AGG,AGG,AGG,AGG,AGG
"11571",112012868,AGG,AGG,AGG,AGG,AGG,AGG
"11572",120616443,AGG,AGG,AGG,AGG,AGG,AGG
"11573", 91310623,AGG,AGG,AGG,0,AGG,AGG
"11574",141204870,AGG,AGG,0,0,AGG,AGG
"11575",122120217,AGG,AGG,AGG,AGG,AGG,AGG
"11576",130817212,AGG,AGG,AGG,AGG,AGG,AGG
"11577",121406499,AGG,AGG,AGG,AGG,AGG,AGG
"11578",122007314,AGG,AGG,AGG,AGG,AGG,0
"11579",130320505,AGG,AGG,AGG,AGG,0,AGG
"11580", 90701164,AGG,AGG,0,AGG,AGG,AGG
"11581",132105479,AGG,AGG,AGG,AGG,AGG,AGG
"11582",100327668,AGG,AGG,AGG,0,AGG,0
"11583",101522743,AGG,AGG,AGG,AGG,AGG,AGG
"11584",111721101,AGG,AGG,AGG,AGG,AGG,AGG
"11585", 90220551,AGG,AGG,AGG,AGG,AGG,AGG
"11586",101309679,0,0,0,AGG,AGG,AGG
"11587", 90308037,AGG,AGG,AGG,AGG,AGG,AGG
"11588",110300602,AGG,AGG,AGG,AGG,AGG,AGG
"11589",140104021,AGG,AGG,AGG,AGG,AGG,AGG
"11590",130214644,AGG,AGG,AGG,AGG,AGG,AGG
"11591",122106843,AGG,AGG,AGG,AGG,AGG,0
"11592",120504748,AGG,AGG,AGG,AGG,AGG,AGG
"11593", 90207716,AGG,AGG,AGG,AGG,AGG,AGG
"11594", 91524879,AGG,AGG,0,AGG,AGG,AGG
"11595",110113531,AGG,AGG,AGG,AGG,AGG,AGG
"11596", 90711229,AGG,AGG,AGG,AGG,AGG,AGG
"11597",101308737,AGG,AGG,AGG,AGG,AGG,AGG
"11598", 91012167,AGG,AGG,AGG,AGG,AGG,AGG
"11599",101704096,AGG,AGG,AGG,AGG,AGG,AGG
"11600",121511580,AGG,AGG,AGG,AGG,AGG,AGG
"11601",110605056,AGG,AGG,AGG,AGG,AGG,AGG
"11602",100624938,AGG,AGG,AGG,AGG,AGG,AGG
"11603",121708177,AGG,AGG,AGG,AGG,AGG,AGG
"11604",111405395,AGG,AGG,AGG,AGG,AGG,AGG
"11605", 90323127,AGG,AGG,AGG,AGG,AGG,AGG
"11606",100219078,0,AGG,AGG,AGG,AGG,AGG
"11607", 90814227,AGG,AGG,AGG,AGG,AGG,AGG
"11608",130305413,AGG,AGG,AGG,AGG,AGG,AGG
"11609",140213876,AGG,AGG,AGG,AGG,AGG,AGG
"11610",101221376,AGG,AGG,AGG,AGG,AGG,AGG
"11611",131423447,AGG,AGG,AGG,AGG,AGG,AGG
"11612", 92100568,AGG,AGG,AGG,0,AGG,0
"11613",111500766,AGG,AGG,AGG,AGG,AGG,AGG
"11614", 92018201,AGG,AGG,AGG,AGG,AGG,AGG
"11615",131012769,AGG,AGG,AGG,AGG,0,AGG
"11616",111909600,AGG,AGG,AGG,AGG,AGG,AGG
"11617",100811273,AGG,AGG,AGG,AGG,AGG,AGG
"11618",110310664,AGG,AGG,AGG,AGG,AGG,AGG
"11619",130312553,AGG,AGG,AGG,AGG,0,AGG
"11620",100307802,AGG,0,0,AGG,AGG,AGG
"11621",100801253,AGG,AGG,AGG,AGG,AGG,AGG
"11622", 90511001,AGG,AGG,0,AGG,AGG,AGG
"11623",131905372,AGG,AGG,AGG,AGG,AGG,AGG
"11624",101317618,AGG,AGG,AGG,AGG,AGG,AGG
"11625",110607755,AGG,AGG,AGG,AGG,AGG,0
"11626",130717796,AGG,AGG,AGG,AGG,AGG,AGG
"11627",111210727,AGG,AGG,AGG,AGG,AGG,AGG
"11628",140804581,AGG,AGG,AGG,AGG,AGG,AGG
"11629",111418847,AGG,0,0,AGG,AGG,AGG
"11630",120321637,AGG,AGG,AGG,AGG,AGG,AGG
"11631",140906493,AGG,AGG,AGG,AGG,AGG,AGG
"11632",131817391,AGG,AGG,AGG,AGG,AGG,AGG
"11633",100206009,AGG,AGG,AGG,AGG,AGG,AGG
"11634",121409100,AGG,AGG,0,AGG,AGG,0
"11635",110207066,AGG,AGG,AGG,AGG,AGG,AGG
"11636", 90900691,AGG,AGG,AGG,AGG,AGG,AGG
"11637", 91927280,AGG,AGG,AGG,AGG,AGG,AGG
"11638", 91415689,AGG,AGG,AGG,AGG,AGG,0
"11639",131004607,AGG,AGG,AGG,AGG,0,0
"11640", 90506883,0,AGG,AGG,AGG,0,AGG
"11641",130310224,AGG,AGG,AGG,AGG,AGG,AGG
"11642", 91022208,AGG,AGG,AGG,AGG,0,AGG
"11643", 90205682,AGG,AGG,AGG,0,AGG,AGG
"11644",130623285,AGG,AGG,AGG,AGG,0,AGG
"11645", 91228645,AGG,AGG,AGG,AGG,AGG,AGG
"11646",101609238,AGG,AGG,AGG,AGG,AGG,AGG
"11647", 90120628,AGG,AGG,AGG,AGG,AGG,0
"11648",131120047,AGG,AGG,AGG,AGG,AGG,0
"11649",130309007,AGG,AGG,AGG,AGG,AGG,AGG
"11650",140509804,AGG,0,0,AGG,AGG,AGG
"11651",101604619,AGG,AGG,AGG,AGG,AGG,AGG
"11652", 92110185,AGG,AGG,AGG,AGG,AGG,AGG
"11653",101319551,AGG,AGG,AGG,AGG,AGG,AGG
"11654",121918102,AGG,AGG,AGG,AGG,AGG,AGG
"11655",120315101,AGG,AGG,AGG,AGG,AGG,0
"11656",100625462,AGG,AGG,AGG,AGG,AGG,AGG
"11657",121822140,AGG,AGG,AGG,AGG,AGG,AGG
"11658", 91507076,AGG,AGG,AGG,AGG,AGG,AGG
"11659", 91515337,AGG,0,0,AGG,AGG,AGG
"11660",110118788,AGG,AGG,AGG,AGG,AGG,AGG
"11661", 90718066,AGG,AGG,AGG,AGG,AGG,AGG
"11662",101709001,AGG,AGG,AGG,AGG,AGG,AGG
"11663",120209658,AGG,AGG,AGG,AGG,AGG,AGG
"11664",130217095,AGG,AGG,AGG,AGG,AGG,AGG
"11665",141808695,AGG,AGG,AGG,AGG,AGG,AGG
"11666", 91706318,AGG,AGG,AGG,AGG,AGG,AGG
"11667",132117527,AGG,AGG,AGG,AGG,AGG,AGG
"11668",100904411,AGG,AGG,0,AGG,AGG,AGG
"11669",120316518,AGG,AGG,AGG,AGG,AGG,AGG
"11670", 90214887,0,AGG,AGG,AGG,AGG,0
"11671", 91326037,AGG,AGG,AGG,AGG,AGG,0
"11672",130204585,AGG,AGG,AGG,AGG,0,0
"11673", 91425092,AGG,AGG,AGG,AGG,0,AGG
"11674",131600505,AGG,AGG,AGG,AGG,AGG,AGG
"11675", 90513363,AGG,AGG,AGG,AGG,AGG,AGG
"11676",120204234,0,AGG,0,0,AGG,AGG
"11677", 90819610,AGG,AGG,AGG,AGG,AGG,AGG
"11678",120814405,AGG,AGG,AGG,AGG,AGG,0
"11679", 91507889,AGG,AGG,AGG,AGG,AGG,AGG
"11680",100508914,AGG,AGG,AGG,AGG,AGG,AGG
"11681",111513045,AGG,AGG,AGG,AGG,AGG,AGG
"11682", 90610396,0,AGG,AGG,AGG,AGG,0
"11683",130415591,AGG,AGG,AGG,AGG,AGG,AGG
"11684",110707478,AGG,AGG,AGG,AGG,AGG,AGG
"11685",111921379,AGG,AGG,AGG,AGG,AGG,0
"11686",101912654,AGG,AGG,AGG,AGG,AGG,AGG
"11687",121517581,AGG,AGG,AGG,AGG,AGG,AGG
"11688",122005640,AGG,AGG,AGG,AGG,0,0
"11689",131221849,0,0,0,AGG,AGG,AGG
"11690",120716992,AGG,AGG,AGG,AGG,AGG,AGG
"11691",111705033,AGG,AGG,AGG,AGG,AGG,AGG
"11692",131011645,AGG,AGG,AGG,AGG,AGG,AGG
"11693",101612543,AGG,AGG,AGG,AGG,AGG,AGG
"11694",101320373,AGG,AGG,AGG,AGG,AGG,AGG
"11695",101428744,AGG,AGG,AGG,AGG,AGG,AGG
"11696", 91823151,AGG,AGG,AGG,AGG,AGG,AGG
"11697",131601569,AGG,AGG,AGG,AGG,0,AGG
"11698",141106512,AGG,0,AGG,AGG,AGG,AGG
"11699", 90922048,AGG,AGG,AGG,AGG,AGG,AGG
"11700",121516509,AGG,AGG,AGG,AGG,AGG,AGG
"11701",131013809,AGG,AGG,AGG,AGG,0,0
"11702",131015474,AGG,0,0,AGG,0,AGG
"11703",111806599,AGG,AGG,AGG,AGG,AGG,AGG
"11704",120904038,AGG,0,0,AGG,AGG,AGG
"11705",121120795,AGG,AGG,AGG,AGG,AGG,AGG
"11706",110501382,AGG,AGG,AGG,AGG,0,AGG
"11707",121017740,AGG,AGG,AGG,AGG,AGG,AGG
"11708",112020931,AGG,AGG,AGG,AGG,AGG,AGG
"11709",112005237,AGG,AGG,AGG,AGG,AGG,AGG
"11710",122020237,AGG,AGG,AGG,AGG,AGG,AGG
"11711",110629545,AGG,AGG,AGG,AGG,AGG,AGG
"11712", 91020302,AGG,AGG,AGG,AGG,AGG,AGG
"11713",141808913,AGG,AGG,AGG,AGG,AGG,AGG
"11714", 91905365,AGG,AGG,AGG,AGG,AGG,AGG
"11715",121918477,AGG,AGG,AGG,AGG,AGG,AGG
"11716",100318883,AGG,AGG,AGG,AGG,AGG,AGG
"11717", 90901006,AGG,AGG,AGG,AGG,AGG,AGG
"11718",101408572,AGG,AGG,AGG,AGG,AGG,AGG
"11719",112109216,AGG,AGG,AGG,AGG,AGG,AGG
"11720", 91921120,AGG,AGG,AGG,AGG,AGG,AGG
"11721", 91511104,AGG,AGG,AGG,AGG,AGG,AGG
"11722",111112105,AGG,0,AGG,AGG,AGG,AGG
"11723",111204035,AGG,AGG,AGG,AGG,AGG,AGG
"11724",121010767,AGG,AGG,AGG,AGG,AGG,AGG
"11725",111710931,0,AGG,AGG,AGG,0,AGG
"11726",130805313,AGG,AGG,AGG,AGG,AGG,AGG
"11727", 91817839,AGG,AGG,AGG,AGG,AGG,AGG
"11728",130515296,AGG,AGG,AGG,AGG,AGG,AGG
"11729",120210992,AGG,AGG,AGG,AGG,AGG,AGG
"11730",111214746,AGG,AGG,AGG,AGG,0,AGG
"11731",101620595,AGG,AGG,AGG,AGG,0,AGG
"11732",111011076,AGG,AGG,AGG,AGG,AGG,AGG
"11733",120904029,AGG,AGG,AGG,AGG,0,AGG
"11734", 90706753,AGG,AGG,AGG,AGG,AGG,AGG
"11735", 91013334,AGG,AGG,AGG,AGG,AGG,AGG
"11736", 91501303,AGG,AGG,AGG,AGG,AGG,AGG
"11737", 91805787,AGG,AGG,AGG,AGG,AGG,AGG
"11738",111620796,AGG,AGG,AGG,AGG,AGG,AGG
"11739",110311247,AGG,AGG,0,AGG,AGG,AGG
"11740",120312497,AGG,AGG,AGG,AGG,AGG,AGG
"11741", 91124807,AGG,AGG,AGG,AGG,AGG,0
"11742",131925375,AGG,AGG,AGG,AGG,AGG,AGG
"11743",131809301,AGG,AGG,AGG,AGG,AGG,AGG
"11744",130220258,AGG,AGG,AGG,AGG,AGG,AGG
"11745",111910737,AGG,AGG,AGG,0,AGG,0
"11746",100904942,0,0,AGG,0,AGG,AGG
"11747",100310832,AGG,AGG,AGG,AGG,AGG,AGG
"11748",120313772,AGG,AGG,AGG,0,0,AGG
"11749",131922660,AGG,AGG,AGG,AGG,AGG,AGG
"11750",110624626,0,AGG,AGG,AGG,AGG,AGG
"11751",101501617,AGG,AGG,AGG,AGG,AGG,AGG
"11752",120607884,AGG,0,0,AGG,AGG,AGG
"11753",130912427,AGG,AGG,AGG,AGG,AGG,AGG
"11754",121911458,AGG,AGG,AGG,AGG,AGG,AGG
"11755",141206113,AGG,AGG,AGG,AGG,AGG,AGG
"11756",130806396,AGG,AGG,AGG,AGG,AGG,AGG
"11757",131217123,AGG,AGG,AGG,AGG,AGG,AGG
"11758",110708832,AGG,AGG,AGG,AGG,AGG,AGG
"11759",111600782,AGG,AGG,AGG,AGG,AGG,AGG
"11760",131221825,AGG,AGG,AGG,AGG,AGG,AGG
"11761",111326949,AGG,AGG,AGG,AGG,AGG,AGG
"11762",110317333,AGG,AGG,AGG,AGG,0,AGG
"11763",141904762,AGG,AGG,AGG,AGG,AGG,AGG
"11764", 90919663,0,AGG,0,AGG,0,AGG
"11765",131608311,AGG,AGG,AGG,AGG,0,AGG
"11766",101305946,AGG,AGG,AGG,AGG,AGG,AGG
"11767", 92113621,AGG,AGG,AGG,AGG,0,0
"11768",120615024,AGG,AGG,AGG,AGG,AGG,AGG
"11769", 91004593,AGG,0,0,AGG,AGG,AGG
"11770",120618377,AGG,AGG,AGG,AGG,AGG,AGG
"11771",121212857,AGG,AGG,AGG,AGG,AGG,AGG
"11772",130507088,AGG,AGG,AGG,AGG,AGG,AGG
"11773",102117363,AGG,AGG,AGG,AGG,AGG,AGG
"11774",121810373,AGG,AGG,AGG,AGG,AGG,0
"11775",141607217,AGG,AGG,AGG,AGG,AGG,0
"11776",131209412,AGG,AGG,AGG,AGG,AGG,AGG
"11777",130709561,AGG,AGG,AGG,AGG,AGG,AGG
"11778",121316694,AGG,AGG,AGG,AGG,AGG,AGG
"11779",111225533,AGG,AGG,AGG,AGG,AGG,0
"11780",111617658,AGG,AGG,AGG,AGG,AGG,AGG
"11781",140313886,AGG,AGG,AGG,AGG,AGG,AGG
"11782",130417099,AGG,AGG,AGG,AGG,AGG,AGG
"11783",130705763,AGG,AGG,AGG,AGG,AGG,AGG
"11784",131429724,AGG,AGG,AGG,AGG,AGG,AGG
"11785",122115894,AGG,AGG,AGG,AGG,AGG,AGG
"11786",101508866,AGG,AGG,AGG,AGG,AGG,AGG
"11787", 90107965,AGG,AGG,AGG,AGG,AGG,AGG
"11788",121323512,AGG,0,AGG,0,AGG,AGG
"11789",121306200,AGG,AGG,AGG,AGG,AGG,AGG
"11790", 90209228,AGG,AGG,AGG,AGG,AGG,AGG
"11791",101516807,AGG,AGG,AGG,AGG,AGG,AGG
"11792",100310062,AGG,AGG,AGG,AGG,AGG,AGG
"11793",131713397,0,AGG,AGG,AGG,0,AGG
"11794", 90322650,AGG,AGG,AGG,AGG,AGG,AGG
"11795", 91023258,AGG,AGG,AGG,AGG,0,AGG
"11796", 91825649,AGG,AGG,AGG,AGG,AGG,AGG
"11797",122011032,AGG,AGG,AGG,AGG,AGG,AGG
"11798",111319748,AGG,AGG,AGG,AGG,AGG,AGG
"11799",121613526,AGG,AGG,AGG,AGG,AGG,AGG
"11800",121205529,AGG,AGG,AGG,AGG,AGG,AGG
"11801",141205104,AGG,AGG,AGG,AGG,AGG,AGG
"11802",141113434,AGG,AGG,AGG,AGG,AGG,AGG
"11803",120922291,AGG,AGG,AGG,AGG,0,AGG
"11804",120904069,AGG,AGG,AGG,AGG,AGG,AGG
"11805",130711038,AGG,AGG,AGG,AGG,AGG,AGG
"11806",101204638,AGG,AGG,AGG,AGG,AGG,AGG
"11807",130718375,AGG,AGG,AGG,AGG,AGG,AGG
"11808", 91114136,AGG,AGG,AGG,AGG,AGG,AGG
"11809",121210666,AGG,AGG,AGG,AGG,AGG,AGG
"11810",112116607,AGG,AGG,AGG,AGG,AGG,AGG
"11811", 91110089,AGG,AGG,AGG,AGG,AGG,AGG
"11812",141509708,AGG,AGG,AGG,AGG,AGG,AGG
"11813",111321972,AGG,AGG,AGG,AGG,AGG,AGG
"11814",100408907,AGG,AGG,AGG,AGG,AGG,0
"11815", 91621735,AGG,AGG,AGG,AGG,AGG,AGG
"11816",101007299,AGG,AGG,AGG,AGG,0,AGG
"11817",101218905,AGG,AGG,AGG,AGG,AGG,AGG
"11818",132119584,AGG,AGG,AGG,AGG,AGG,AGG
"11819", 91411436,AGG,AGG,AGG,AGG,AGG,0
"11820",101309144,AGG,AGG,AGG,AGG,AGG,AGG
"11821",130624836,AGG,AGG,0,AGG,0,AGG
"11822",120216328,AGG,AGG,AGG,AGG,AGG,AGG
"11823",101209699,AGG,AGG,AGG,AGG,AGG,AGG
"11824",111900577,AGG,0,0,AGG,AGG,AGG
"11825",121215734,0,AGG,0,0,AGG,AGG
"11826",100518036,AGG,AGG,AGG,AGG,AGG,AGG
"11827",101208525,AGG,AGG,AGG,AGG,AGG,AGG
"11828", 92121817,AGG,AGG,AGG,AGG,AGG,AGG
"11829",131116335,AGG,AGG,AGG,AGG,AGG,AGG
"11830",140605511,AGG,AGG,AGG,AGG,AGG,AGG
"11831",131405180,AGG,AGG,AGG,AGG,AGG,AGG
"11832",120320421,AGG,AGG,AGG,AGG,AGG,AGG
"11833",120214542,AGG,AGG,AGG,AGG,AGG,AGG
"11834", 90329123,AGG,AGG,AGG,AGG,AGG,AGG
"11835",100806783,AGG,AGG,AGG,AGG,AGG,AGG
"11836",132016190,0,AGG,AGG,AGG,AGG,AGG
"11837",101501591,AGG,AGG,AGG,AGG,AGG,AGG
"11838",130812207,0,AGG,AGG,AGG,AGG,AGG
"11839",131225081,AGG,AGG,AGG,AGG,AGG,0
"11840",140710851,AGG,AGG,AGG,AGG,AGG,AGG
"11841", 91219989,AGG,AGG,AGG,AGG,AGG,0
"11842",110207338,AGG,AGG,AGG,AGG,AGG,AGG
"11843",120414716,AGG,AGG,AGG,AGG,AGG,AGG
"11844", 92015291,AGG,AGG,AGG,AGG,AGG,AGG
"11845",100408472,AGG,AGG,AGG,AGG,AGG,AGG
"11846", 91908646,AGG,AGG,AGG,AGG,AGG,0
"11847", 91614108,AGG,AGG,AGG,AGG,AGG,AGG
"11848", 91410690,AGG,0,AGG,AGG,0,AGG
"11849",131307213,AGG,AGG,AGG,AGG,AGG,AGG
"11850",141813347,AGG,AGG,AGG,AGG,AGG,AGG
"11851",110707636,AGG,AGG,AGG,AGG,AGG,AGG
"11852",100405313,AGG,AGG,AGG,AGG,AGG,AGG
"11853",130400858,AGG,AGG,AGG,AGG,0,AGG
"11854",101915944,AGG,0,0,AGG,AGG,AGG
"11855",111120501,AGG,AGG,AGG,AGG,AGG,AGG
"11856",122009816,AGG,AGG,AGG,AGG,AGG,AGG
"11857",130417725,AGG,AGG,AGG,AGG,AGG,AGG
"11858",130516740,AGG,AGG,AGG,AGG,AGG,AGG
"11859",111704844,AGG,AGG,AGG,AGG,0,0
"11860", 90914934,AGG,AGG,AGG,AGG,AGG,AGG
"11861",101701057,AGG,AGG,AGG,AGG,AGG,AGG
"11862",130713629,AGG,AGG,AGG,AGG,AGG,AGG
"11863",110604871,AGG,AGG,AGG,0,AGG,0
"11864",121210271,AGG,0,AGG,AGG,AGG,AGG
"11865",130320622,AGG,AGG,AGG,AGG,AGG,0
"11866",120315925,AGG,AGG,AGG,AGG,AGG,AGG
"11867",101820483,AGG,AGG,AGG,AGG,AGG,AGG
"11868", 91307562,AGG,AGG,AGG,AGG,0,0
"11869",121609828,AGG,AGG,AGG,AGG,AGG,AGG
"11870",111505683,AGG,AGG,AGG,AGG,AGG,AGG
"11871", 91524902,AGG,AGG,AGG,AGG,AGG,AGG
"11872", 91315465,0,AGG,AGG,AGG,0,AGG
"11873",131510932,AGG,AGG,AGG,AGG,AGG,AGG
"11874",111506808,AGG,0,AGG,AGG,AGG,AGG
"11875",121016628,AGG,AGG,AGG,AGG,AGG,AGG
"11876",130405851,AGG,0,0,AGG,AGG,AGG
"11877",111113723,AGG,AGG,AGG,AGG,AGG,AGG
"11878",121910599,AGG,AGG,AGG,0,AGG,0
"11879",131206996,AGG,AGG,AGG,AGG,AGG,0
"11880",101814159,AGG,AGG,AGG,AGG,AGG,AGG
"11881",100716853,0,AGG,AGG,AGG,AGG,0
"11882",100907189,AGG,AGG,AGG,AGG,0,AGG
"11883", 91216547,AGG,AGG,0,AGG,AGG,0
"11884", 91231863,AGG,AGG,AGG,AGG,AGG,AGG
"11885", 91023203,AGG,AGG,AGG,AGG,AGG,AGG
"11886",132110607,AGG,AGG,AGG,AGG,AGG,AGG
"11887",111714956,AGG,AGG,AGG,AGG,AGG,AGG
"11888",130900869,AGG,AGG,AGG,AGG,AGG,AGG
"11889",120600968,AGG,AGG,AGG,AGG,AGG,AGG
"11890",121113837,AGG,AGG,AGG,AGG,AGG,AGG
"11891",130207834,AGG,AGG,AGG,AGG,AGG,AGG
"11892", 91008603,0,AGG,AGG,AGG,0,AGG
"11893",141210191,AGG,AGG,AGG,0,AGG,0
"11894", 90709092,AGG,AGG,AGG,0,AGG,AGG
"11895",111707489,AGG,AGG,AGG,AGG,AGG,AGG
"11896",141800578,AGG,AGG,AGG,AGG,0,0
"11897",131407459,AGG,AGG,AGG,AGG,AGG,AGG
"11898", 90907802,AGG,AGG,AGG,AGG,AGG,AGG
"11899",131607856,AGG,AGG,AGG,AGG,AGG,AGG
"11900",111117798,AGG,AGG,AGG,AGG,AGG,0
"11901", 91308824,AGG,AGG,AGG,AGG,AGG,AGG
"11902",111819974,AGG,AGG,AGG,AGG,0,0
"11903",141911964,AGG,AGG,AGG,AGG,AGG,AGG
"11904", 90413318,AGG,AGG,AGG,AGG,0,0
"11905",100207832,AGG,AGG,AGG,AGG,AGG,AGG
"11906",100804979,AGG,AGG,AGG,AGG,AGG,AGG
"11907",110811433,AGG,AGG,AGG,AGG,AGG,AGG
"11908",101823684,AGG,AGG,AGG,AGG,AGG,AGG
"11909",140511523,AGG,AGG,AGG,AGG,AGG,AGG
"11910",120204391,AGG,AGG,AGG,AGG,AGG,AGG
"11911",130104231,AGG,AGG,AGG,AGG,AGG,AGG
"11912",110319610,AGG,AGG,AGG,AGG,AGG,AGG
"11913", 90417101,AGG,AGG,AGG,AGG,AGG,AGG
"11914",120323692,AGG,0,AGG,AGG,AGG,AGG
"11915",110107240,AGG,AGG,AGG,AGG,0,AGG
"11916",131706865,AGG,AGG,AGG,AGG,AGG,AGG
"11917",111314915,AGG,AGG,AGG,AGG,AGG,AGG
"11918", 91808866,AGG,AGG,AGG,0,AGG,0
"11919",101218260,AGG,AGG,AGG,AGG,AGG,AGG
"11920",121504836,AGG,AGG,AGG,AGG,AGG,AGG
"11921", 92124760,AGG,AGG,AGG,AGG,AGG,AGG
"11922",142111817,AGG,AGG,AGG,AGG,AGG,AGG
"11923",130625592,AGG,AGG,AGG,AGG,AGG,AGG
"11924", 90304308,AGG,AGG,AGG,AGG,AGG,AGG
"11925",121619663,AGG,AGG,AGG,AGG,AGG,AGG
"11926", 90317631,AGG,AGG,AGG,AGG,AGG,0
"11927", 90820231,0,AGG,AGG,AGG,0,0
"11928",121601545,AGG,AGG,AGG,AGG,AGG,AGG
"11929",111606964,AGG,AGG,AGG,AGG,AGG,AGG
"11930",120520596,AGG,AGG,AGG,AGG,0,0
"11931",122004536,AGG,AGG,AGG,AGG,AGG,AGG
"11932", 90213182,AGG,AGG,AGG,AGG,AGG,AGG
"11933",120408729,AGG,AGG,0,AGG,AGG,AGG
"11934", 91718356,AGG,AGG,AGG,AGG,AGG,AGG
"11935",111120229,AGG,AGG,AGG,AGG,AGG,AGG
"11936",141312757,AGG,0,AGG,AGG,AGG,AGG
"11937",131427687,AGG,AGG,AGG,AGG,AGG,AGG
"11938",122117073,AGG,AGG,AGG,AGG,AGG,AGG
"11939", 91008995,AGG,AGG,AGG,AGG,AGG,AGG
"11940",141204257,AGG,AGG,AGG,AGG,AGG,AGG
"11941",111811809,AGG,AGG,AGG,AGG,AGG,AGG
